owner,pair_n_01,pair_n_02,pair_n_12,pair_rate_01,pair_rate_02,pair_rate_12,progress,seed,step,tri_rate_01,tri_rate_02,tri_rate_12,triple_overlap
0,1317,531,1337,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,316
1,1317,531,1337,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,316
2,1317,531,1337,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,316
0,4271,3277,1337,0.0,0.0,0.0,0.025,1,100,0.0,0.0,0.0,1261
1,3370,531,4188,0.0,0.0,0.0,0.025,1,100,0.0,0.0,0.0,531
2,1317,3584,4374,0.0,0.0,0.0,0.025,1,100,0.0,0.0,0.0,1296
0,12542,15832,16361,7.973210014351777e-05,0.0009474482061647296,0.0007945724588961555,0.05,1,200,7.973845785822502e-05,0.0006379076628658002,0.0006379076628658002,12541
1,12542,15832,16361,7.973210014351777e-05,0.0009474482061647296,0.0007945724588961555,0.05,1,200,7.973845785822502e-05,0.0006379076628658002,0.0006379076628658002,12541
2,12542,15832,16361,7.973210014351777e-05,0.0009474482061647296,0.0007945724588961555,0.05,1,200,7.973845785822502e-05,0.0006379076628658002,0.0006379076628658002,12541
0,12542,15834,16361,7.973210014351777e-05,0.0009473285335354301,0.0007945724588961555,0.05,1,300,7.973845785822502e-05,0.0006379076628658002,0.0006379076628658002,12541
1,12542,15832,16361,7.973210014351777e-05,0.0009474482061647296,0.0007945724588961555,0.05,1,300,7.973845785822502e-05,0.0006379076628658002,0.0006379076628658002,12541
2,12542,19156,16361,7.973210014351777e-05,0.001618291918980998,0.0015280239594156837,0.05,1,300,7.973845785822502e-05,0.0013555537835898254,0.0015150306993062753,12541
0,12542,24642,16361,7.973210014351777e-05,0.0015015015015015015,0.0015280239594156837,0.075,1,400,7.973845785822502e-05,0.0013555537835898254,0.0015150306993062753,12541
1,12542,23237,16361,7.973210014351777e-05,0.001549253345956879,0.0015280239594156837,0.075,1,400,7.973845785822502e-05,0.0013555537835898254,0.0015150306993062753,12541
2,12542,24642,16361,7.973210014351777e-05,0.0015015015015015015,0.0015280239594156837,0.075,1,400,7.973845785822502e-05,0.0013555537835898254,0.0015150306993062753,12541
0,12542,24642,16361,7.973210014351777e-05,0.0015015015015015015,0.0015280239594156837,0.075,1,500,7.973845785822502e-05,0.0013555537835898254,0.0015150306993062753,12541
1,12542,23237,16361,7.973210014351777e-05,0.001549253345956879,0.0015280239594156837,0.075,1,500,7.973845785822502e-05,0.0013555537835898254,0.0015150306993062753,12541
2,12542,24647,16364,7.973210014351777e-05,0.0019069257921856615,0.0016499633341481301,0.075,1,500,7.973845785822502e-05,0.0015150306993062753,0.0016745076150227254,12541
0,12542,24708,18711,7.973210014351777e-05,0.0020236360692892992,0.00160333493666827,0.1,1,600,7.973845785822502e-05,0.0016745076150227254,0.0018339845307391756,12541
1,12542,23244,18975,7.973210014351777e-05,0.002022027189812425,0.0016337285902503294,0.1,1,600,7.973845785822502e-05,0.0016745076150227254,0.0018339845307391756,12541
2,12542,24708,18975,7.973210014351777e-05,0.0020236360692892992,0.0016337285902503294,0.1,1,600,7.973845785822502e-05,0.0016745076150227254,0.0018339845307391756,12541
0,12542,24708,18711,7.973210014351777e-05,0.0020236360692892992,0.00160333493666827,0.125,1,700,7.973845785822502e-05,0.0016745076150227254,0.0018339845307391756,12541
1,12542,23244,18975,7.973210014351777e-05,0.002022027189812425,0.0016337285902503294,0.1,1,700,7.973845785822502e-05,0.0016745076150227254,0.0018339845307391756,12541
2,12542,24708,23355,7.973210014351777e-05,0.001942690626517727,0.0018839648897452366,0.125,1,700,7.973845785822502e-05,0.0015947691571645004,0.0017542460728809505,12541
0,12542,24873,20528,7.973210014351777e-05,0.0019298034012784947,0.0016075604053000779,0.2,1,800,7.973845785822502e-05,0.0015947691571645004,0.0017542460728809505,12541
1,12542,23247,23554,7.973210014351777e-05,0.0019357336430507162,0.002037870425405451,0.175,1,800,7.973845785822502e-05,0.0015947691571645004,0.0017542460728809505,12541
2,12542,24873,23554,7.973210014351777e-05,0.0019298034012784947,0.002037870425405451,0.2,1,800,7.973845785822502e-05,0.0015947691571645004,0.0017542460728809505,12541
0,12542,24873,20528,7.973210014351777e-05,0.0019298034012784947,0.0016075604053000779,0.25,1,900,7.973845785822502e-05,0.0015947691571645004,0.0017542460728809505,12541
1,12542,23247,23554,7.973210014351777e-05,0.0019357336430507162,0.002037870425405451,0.2,1,900,7.973845785822502e-05,0.0015947691571645004,0.0017542460728809505,12541
2,12542,25330,23554,7.973210014351777e-05,0.0018949861823924202,0.002037870425405451,0.25,1,900,7.973845785822502e-05,0.0015947691571645004,0.0017542460728809505,12541
0,12542,25330,20528,7.973210014351777e-05,0.0018949861823924202,0.0016075604053000779,0.275,1,1000,7.973845785822502e-05,0.0015947691571645004,0.0017542460728809505,12541
1,12542,23247,23555,7.973210014351777e-05,0.0019357336430507162,0.0020377839099978774,0.275,1,1000,7.973845785822502e-05,0.0015947691571645004,0.0017542460728809505,12541
2,12542,25330,23555,7.973210014351777e-05,0.0018949861823924202,0.0020377839099978774,0.275,1,1000,7.973845785822502e-05,0.0015947691571645004,0.0017542460728809505,12541
0,12542,25330,20528,7.973210014351777e-05,0.0018949861823924202,0.0016075604053000779,0.3,1,1100,7.973845785822502e-05,0.0015947691571645004,0.0017542460728809505,12541
1,12542,23247,23555,7.973210014351777e-05,0.0019357336430507162,0.0020377839099978774,0.325,1,1100,7.973845785822502e-05,0.0015947691571645004,0.0017542460728809505,12541
2,12542,25330,23555,7.973210014351777e-05,0.0018949861823924202,0.0020377839099978774,0.325,1,1100,7.973845785822502e-05,0.0015947691571645004,0.0017542460728809505,12541
0,12542,25330,20528,7.973210014351777e-05,0.0018949861823924202,0.0016075604053000779,0.325,1,1200,7.973845785822502e-05,0.0015947691571645004,0.0017542460728809505,12541
1,12542,23247,23555,7.973210014351777e-05,0.0019357336430507162,0.0020377839099978774,0.35,1,1200,7.973845785822502e-05,0.0015947691571645004,0.0017542460728809505,12541
2,12542,25330,23555,7.973210014351777e-05,0.0018949861823924202,0.0020377839099978774,0.35,1,1200,7.973845785822502e-05,0.0015947691571645004,0.0017542460728809505,12541
0,12542,25330,20528,7.973210014351777e-05,0.0018949861823924202,0.0016075604053000779,0.375,1,1300,7.973845785822502e-05,0.0015947691571645004,0.0017542460728809505,12541
1,12542,23247,24165,7.973210014351777e-05,0.0019357336430507162,0.0019863438857852266,0.375,1,1300,7.973845785822502e-05,0.0015947691571645004,0.0017542460728809505,12541
2,12542,25330,23555,7.973210014351777e-05,0.0018949861823924202,0.0020377839099978774,0.375,1,1300,7.973845785822502e-05,0.0015947691571645004,0.0017542460728809505,12541
0,12542,25330,20528,7.973210014351777e-05,0.0018949861823924202,0.0016075604053000779,0.375,1,1400,7.973845785822502e-05,0.0015947691571645004,0.0017542460728809505,12541
1,12542,23247,32817,7.973210014351777e-05,0.0019357336430507162,0.0024987049395130572,0.375,1,1400,7.973845785822502e-05,0.0015947691571645004,0.0017542460728809505,12541
